state,population,white_population_rate,black_population_rate,hispanic_population_rate,asian_population_rate,suicide_rate,homicide_rate,nominal_gdp,nominal_gdp_per_capita,real_gdp,real_gdp_per_capita,very_important_rate,somewhat_important_rate,not_important_rate,christian_rate,non-christian_rate,unaffiliated_rate,conservative_rate,moderate_rate,liberal_rate,neutral_rate,urban_rate,rural_rate,area,population_density,sun_rate,sun_total_hours,unemployment_rate
AL,5024185,0.6312070514919336,0.2687353272222261,0.052551607872719654,0.020000457785690616,0.00016,0.00014199999999999998,230892.1,0.04595613019823116,199880.8,0.039783726116773166,0.77,0.19,0.04,0.86,0.020000000000000018,0.12,0.5,0.29,0.12,0.08,0.5770000000000001,0.42299999999999993,135767.0,37.005936641451896,0.58,2641.0,6.4
AK,733058,0.5751536713329641,0.04343721779177091,0.0679114067372568,0.09649304693489465,0.000275,7.3e-05,50475.2,0.06885567035623374,50705.2,0.06916942452029716,0.41,0.42,0.16,0.62,0.07000000000000006,0.31,0.34,0.37,0.23,0.06,0.649,0.351,1723337.0,0.4253712419567386,0.41,2061.0,8.3
AZ,7151464,0.5336725459290573,0.055130529916671604,0.3065419891647361,0.046937661994802746,0.00017600000000000002,7.5e-05,382072.3,0.053425746112963725,327178.0,0.04574979332903025,0.51,0.37,0.11,0.67,0.05999999999999994,0.27,0.39,0.31,0.23,0.07,0.893,0.10699999999999998,295234.0,24.223036642121166,0.85,3806.0,7.8
AR,3011480,0.6852195598177641,0.1620435799009125,0.08528730059638451,0.0266254466242512,0.00019,0.00013,133969.1,0.044486133064141224,117268.2,0.03894038811481398,0.7,0.23,0.05,0.79,0.030000000000000027,0.18,0.42,0.38,0.14,0.06,0.555,0.44499999999999995,137732.0,21.86478087880812,0.61,2771.0,6.2
CA,39537251,0.34686867835095564,0.0639188344176989,0.3940404961386921,0.17269212773543613,0.0001,6.1e-05,3020173.4,0.076388047312647,2667220.9,0.06746095979207052,0.47,0.39,0.14,0.63,0.09999999999999998,0.27,0.31,0.34,0.29,0.06,0.9420000000000001,0.05799999999999994,423967.0,93.25549158307132,0.68,3055.0,10.1
CO,5773713,0.6513413465477068,0.04906496045092647,0.2188174230343628,0.04765442965384667,0.000215,5.8e-05,391263.3,0.0677663229883439,353345.2,0.06119895464149327,0.47,0.4,0.13,0.64,0.07000000000000006,0.29,0.33,0.34,0.28,0.05,0.86,0.14,269601.0,21.415769971179632,0.71,3204.0,6.8
CT,3605862,0.6320802071737631,0.11371760760672482,0.17284937693123031,0.054934437313463466,9.300000000000001e-05,4.599999999999999e-05,276223.3,0.07660395766671048,235234.9,0.06523680052092953,0.42,0.44000000000000006,0.14,0.7,0.07000000000000006,0.23,0.33,0.36,0.25,0.06,0.863,0.137,14357.0,251.15706623946508,0.56,2585.0,7.9
DE,989948,0.5857408671970649,0.23614775725593667,0.10534795767050391,0.049499569674366736,0.000123,9.900000000000001e-05,75818.6,0.07658846727302848,62281.8,0.06291421367586984,0.46,0.41000000000000003,0.11,0.69,0.08000000000000007,0.23,0.26,0.4,0.25,0.09,0.826,0.17400000000000004,6446.0,153.57555072913433,0.56,2585.0,7.5
FL,21536045,0.515409444956119,0.15800324525696338,0.26449433960599544,0.036306155563846566,0.00013199999999999998,7.8e-05,1116726.8,0.051853847816532704,950164.4,0.044119725789948896,0.53,0.36,0.11,0.7,0.06000000000000005,0.24,0.37,0.31,0.24,0.08,0.915,0.08499999999999996,170312.0,126.45054370801823,0.66,2927.0,8.1
GA,10711773,0.5005801560581987,0.3225842257859647,0.10487731582810801,0.05091556738552992,0.000137,0.000105,625425.7,0.058386758195865425,537615.8,0.050189245048415425,0.64,0.27,0.08,0.79,0.030000000000000027,0.18,0.42,0.32,0.2,0.06,0.741,0.259,153910.0,69.5976414787863,0.66,2986.0,6.5
HI,1455086,0.21597829956442438,0.02709255672860573,0.09545896256303751,0.6409772343352902,0.000129,3.2999999999999996e-05,82535.5,0.056722076908169,70109.4,0.04818230675025393,0.44,0.45,0.1,0.63,0.10999999999999999,0.26,0.3,0.42,0.21,0.06,0.861,0.139,28313.0,51.39285840426659,0.71,2986.0,11.7
ID,1839098,0.7887100089282898,0.013232573794327436,0.13017685843821264,0.026881656116204793,0.000232,2.5e-05,85927.8,0.04672279563133667,75145.5,0.04085997592297964,0.51,0.37,0.13,0.67,0.05999999999999994,0.27,0.42,0.32,0.21,0.05,0.6920000000000001,0.30799999999999994,216443.0,8.496916047181013,0.64,2993.0,5.5
IL,12812345,0.5832422558087532,0.14983642728946184,0.18243085087078126,0.06617196149494882,0.000105,0.000112,856942.9,0.06688415742785571,734385.0,0.057318547073154834,0.5,0.4,0.1,0.71,0.07000000000000006,0.22,0.32,0.35,0.27,0.06,0.8690000000000001,0.1309999999999999,149995.0,85.41848061602053,0.56,2567.0,9.3
IN,6785445,0.7546964126892194,0.10832259343344468,0.0816699567972329,0.030705134298487424,0.00015,9.7e-05,373781.6,0.05508579024662347,327277.9,0.04823234143081257,0.53,0.36,0.1,0.72,0.020000000000000018,0.26,0.41,0.31,0.2,0.08,0.7120000000000001,0.2879999999999999,94326.0,71.93610457350042,0.55,2440.0,7.3
IA,3190365,0.826927326497125,0.05195142248614187,0.06769821007941097,0.031222446334510316,0.00018,3.6e-05,196982.9,0.06174306074696782,170957.4,0.053585530182283216,0.53,0.37,0.09,0.77,0.020000000000000018,0.21,0.41,0.31,0.23,0.06,0.632,0.368,145746.0,21.889897492898605,0.59,2691.0,5.2
KS,2937856,0.7224863982441617,0.07133024899790869,0.13022966408156153,0.03758046684384803,0.00018399999999999997,7e-05,177580.9,0.06044574683034158,158348.3,0.053899272122255135,0.5,0.43,0.07,0.76,0.040000000000000036,0.2,0.39,0.31,0.27,0.03,0.723,0.277,213100.0,13.786278742374472,0.65,2922.0,5.8
KY,4505676,0.8133387753580151,0.09417033093369341,0.04613003686905139,0.02188084540477389,0.000177,9.5e-05,216865.6,0.04813164550668979,188396.3,0.04181310418236908,0.63,0.30000000000000004,0.07,0.76,0.020000000000000018,0.22,0.42,0.29,0.23,0.06,0.5870000000000001,0.4129999999999999,104656.0,43.05224736278856,0.56,2514.0,6.5
LA,4657475,0.5575074477050334,0.32603524441891796,0.06924352787722962,0.02291606503523905,0.000137,0.00019899999999999999,232527.8,0.049925721555134486,218421.7,0.04689702038121515,0.71,0.23,0.06,0.84,0.030000000000000027,0.13,0.5,0.3,0.14,0.06,0.715,0.28500000000000003,135659.0,34.33222270546001,0.57,2649.0,8.6
ME,1362335,0.901577071718777,0.025293338275827897,0.01952897048082887,0.018508663434470964,0.00016399999999999997,1.6e-05,70740.0,0.05192555428730819,59881.4,0.043954974363867916,0.34,0.43999999999999995,0.21,0.6,0.09000000000000008,0.31,0.34,0.33,0.3,0.03,0.386,0.614,91633.0,14.867296716248513,0.57,2513.0,5.1
MD,6177101,0.47170088363457224,0.31118675249117667,0.11813486617751595,0.07794530152574808,9.199999999999999e-05,0.000114,410931.0,0.06652489573992719,352384.0,0.05704682503977189,0.5,0.37,0.12,0.69,0.08000000000000007,0.23,0.26,0.36,0.29,0.09,0.856,0.14400000000000002,32131.0,192.24739348292925,0.57,2582.0,6.5
MA,7029776,0.675536745409811,0.08168482182078063,0.12627002624265696,0.08113259938865762,8.400000000000001e-05,2.7000000000000002e-05,585150.3,0.08323882581749405,500001.0,0.07112616390621834,0.33,0.45999999999999996,0.2,0.58,0.10000000000000009,0.32,0.23,0.35,0.36,0.06,0.9129999999999999,0.08700000000000008,27336.0,257.16183786947613,0.58,2634.0,9.4
MI,10077063,0.7239638176321811,0.14933716302061423,0.05600877954221384,0.039941399592321694,0.00014,8.699999999999999e-05,520105.3,0.05161278638428677,448455.3,0.04450257976952213,0.5,0.38,0.11,0.7,0.06000000000000005,0.24,0.35,0.33,0.24,0.08,0.735,0.265,250487.0,40.22988418560644,0.51,2392.0,10.0
MN,5706396,0.7629735125287485,0.081980991154487,0.06056957841692024,0.06150677240065358,0.00013099999999999999,3.6e-05,376814.4,0.06603369271953786,328489.5,0.05756514269251556,0.46,0.41000000000000003,0.13,0.74,0.06000000000000005,0.2,0.35,0.32,0.27,0.07,0.7190000000000001,0.2809999999999999,225163.0,25.34340011458366,0.58,2711.0,6.3
MS,2961257,0.5535041369256366,0.3764688441428758,0.035531195029678275,0.0145347060386856,0.000139,0.000205,115123.4,0.03887653114876554,100526.9,0.033947374375138666,0.74,0.21,0.04,0.83,0.030000000000000027,0.14,0.45,0.3,0.19,0.06,0.46299999999999997,0.537,125438.0,23.607335895023837,0.61,2720.0,8.0
MO,6154835,0.7577566254822429,0.12706725688016007,0.04923950032779108,0.02971306298219205,0.000182,0.00014,330249.9,0.053656986742942746,282754.1,0.04594015924066201,0.56,0.36,0.07,0.77,0.030000000000000027,0.2,0.39,0.32,0.21,0.08,0.695,0.30500000000000005,180540.0,34.091254015730584,0.6,2690.0,6.1
MT,1084194,0.8313143219755874,0.010501810561578463,0.04168534413582809,0.01584587260213578,0.000261,6.599999999999999e-05,52355.8,0.04829006616896976,46750.4,0.04311995823625661,0.44,0.4,0.15,0.65,0.050000000000000044,0.3,0.44,0.31,0.21,0.05,0.534,0.46599999999999997,380831.0,2.8469163487216114,0.59,2698.0,5.8
NE,1961504,0.7569135724423708,0.06044443447477038,0.11966123953863973,0.03445723281726675,0.00014900000000000002,4.0999999999999994e-05,134580.8,0.06861102500938056,118141.5,0.060230058159453155,0.54,0.37,0.08,0.75,0.050000000000000044,0.2,0.41,0.29,0.21,0.09,0.73,0.27,200330.0,9.791364248989169,0.61,2762.0,4.3
